SMP0000050	SMP0000654	SMP0000004	SMP0000020	SMP0000033	SMP0000046	SMP0000072	SMP0000007	SMP0000063	SMP0000059	SMP0000009	SMP0000067	SMP0000043	SMP0000465	SMP0000123	SMP0000044	SMP0000035	SMP0000031	SMP0000128	SMP0000058	SMP0000057	SMP0000006	SMP0000048	SMP0000032	SMP0000060	SMP0000040	SMP0000016	SMP0000010	SMP0000444	SMP0000008	SMP0000064	SMP0000037	SMP0000030	SMP0000029
GMP	F1P/F6P/G1P/G6P	NAD	citrulline	serine	glutamine	glutamine	anserine	tryptophan	glutamine	serine	beta-alanine	sorbitol	lysine	betaine	carnosine	NAD	NADP	F1P/F6P/G1P/G6P	F1P/F6P/G1P/G6P	NAD	tyrosine	niacinamide	leucine	NAD	F1P/F6P/G1P/G6P	valine	F1P/F6P/G1P/G6P	F1P/F6P/G1P/G6P	phenylalanine	NADP	lysine	alpha-ketoglutarate	alanine
guanosine	F1P/F6P/G1P/G6P	glycine	ornithine	glycine	UMP	F1P/F6P/G1P/G6P	beta-alanine	alanine	alanine	asparagine	alpha-ketoglutarate	inositol	5-adenosylhomocysteine	NAD	beta-alanine	NADP	6-phosphogluconate	F1P/F6P/G1P/G6P	sucrose	citrate	alpha-ketoglutarate	1-methylnicotinamide	NAD	PEP	F1P/F6P/G1P/G6P	beta-alanine	F1P/F6P/G1P/G6P	UDP-galactose/UDP-glucose	alpha-ketoglutarate	sorbitol	alpha-ketoglutarate	succinate/methylmalonate	AMP
xanthine	NAD	dimethylglycine	aspartate	NAD	AMP	AMP	carnosine	kynurenine	alpha-ketoglutarate	aspartate	aspartate	sucrose	alpha-ketoglutarate	choline	histidine	AMP	ribose-5-P/ribulose5-P	F1P/F6P/G1P/G6P	F1P/F6P/G1P/G6P	isocitrate	aspartate	NAD	valine	malate	F1P/F6P/G1P/G6P	NAD	UDP-galactose/UDP-glucose	UMP	tyrosine	NAD	NADP	carnitine	serine
AMP	3-phosphoglycerate	sarcosine	AMP	homocysteine	cytidine	GMP	histidine	alpha-ketoglutarate	NAD	glutamine	glutamine	lactose	succinate/methylmalonate	homocysteine	5-adenosylhomocysteine	taurine	ribose-5-P/ribulose5-P	NAD	3-phosphoglycerate	alpha-ketoglutarate	fumarate/maleate/alpha-ketoisovalerate	NADP	fumarate/maleate/alpha-ketoisovalerate	lactate	NAD	alpha-ketoglutarate	NAD	UDP-galactose/UDP-glucose	AMP	F1P/F6P/G1P/G6P	NAD	propionylcarnitine	adenosine
ribose-5-P/ribulose5-P	PEP	serine	fumarate/maleate/alpha-ketoisovalerate	methionine	uridine	NAD	aspartate	NADP	aspartate	AMP	AMP	NAD	glycine	dimethylglycine	NADP	glycine	AMP	3-phosphoglycerate	UDP-galactose/UDP-glucose	succinate/methylmalonate	NADP	5-adenosylhomocysteine	isoleucine	NADP	3-phosphoglycerate	AMP	UDP-galactose/UDP-glucose	lactose	fumarate/maleate/alpha-ketoisovalerate	F1P/F6P/G1P/G6P	2-aminoadipate	acetylcarnitine	NAD
glutamine	citrate	alanine	arginine	cystathionine	uracil	alanine	N-carbamoyl-beta-alanine	serotonin	ornithine	histidine	asparagine	UDP-galactose/UDP-glucose	NAD	methionine	NAD	taurocholate	erythrose-4-phosphate	PEP	NAD	fumarate/maleate/alpha-ketoisovalerate	5-adenosylhomocysteine	AMP	alpha-ketoglutarate	AMP	PEP	alpha-hydroxybutyrate							
glycine	isocitrate	arginine	NAD	5-adenosylhomocysteine	NADP	alpha-ketoglutarate	NADP	NAD	citrulline	NAD	citrulline	F1P/F6P/G1P/G6P	butyrobetaine	5-adenosylhomocysteine	AMP	taurodeoxycholate/taurochenodeoxycholate	F1P/F6P/G1P/G6P	alpha-ketoglutarate	glucuronate	malate	NAD	glutamine	succinate/methylmalonate										
aspartate	alpha-ketoglutarate	5-adenosylhomocysteine	alpha-ketoglutarate	sarcosine	N-carbamoyl-beta-alanine	aspartate	uracil	5-HIAA	arginine	alpha-ketoglutarate	fumarate/maleate/alpha-ketoisovalerate	UDP-galactose/UDP-glucose	carnitine	adenosine	anserine	glycodeoxycholate/glycochenodeoxycholate	F1P/F6P/G1P/G6P																
fumarate/maleate/alpha-ketoisovalerate	succinate/methylmalonate	creatine	proline	putrescine	beta-alanine	glycine	alpha-ketoglutarate	5-adenosylhomocysteine	fumarate/maleate/alpha-ketoisovalerate	glycine	arginine	F1P/F6P/G1P/G6P																					
NAD	fumarate/maleate/alpha-ketoisovalerate	betaine	cis/trans-hydroxyproline	adenosine	dCMP	NADP	NAD	AMP	AMP																								
NADP	malate	homocysteine	succinate/methylmalonate	choline	2-deoxycytidine	GABA	pantothenate																										
xanthosine	glutamine	methionine	glycine	betaine	thymidine	succinate/methylmalonate																											
inosine	erythrose-4-phosphate	3-phosphoglycerate	5-adenosylhomocysteine	dimethylglycine	thymine																												
hypoxanthine	ribose-5-P/ribulose5-P	alpha-ketoglutarate	creatine	AMP																													
urate	ribose-5-P/ribulose5-P	AMP	phosphocreatine																														
adenosine	6-phosphogluconate	serine	NADP																														
adenine	NADP	cystathionine																															
2-deoxyadenosine																																	
cAMP																																	
