A1BG	ENSG00000121410	CCDS12976	uc002qsd.5
A1CF	ENSG00000148584	CCDS7242, CCDS7243, CCDS7241, CCDS73133	uc057tgv.1
A2M	ENSG00000175899	CCDS44827	uc001qvk.2
A2ML1	ENSG00000166535	CCDS73439, CCDS8596	uc001quz.6
A3GALT2	ENSG00000184389	CCDS60080	uc031plq.1
A4GALT	ENSG00000128274	CCDS14041	uc062ewl.1
A4GNT	ENSG00000118017	CCDS3097	uc003ers.2
AAAS	ENSG00000094914	CCDS8856, CCDS53797	uc001scr.5
AACS	ENSG00000081760	CCDS9263	uc001uhc.4
AADAC	ENSG00000114771	CCDS33877	uc003eze.4
AADACL2	ENSG00000197953	CCDS3161	uc003ezc.4
AADACL3	ENSG00000188984	CCDS41253	uc057ckc.1
AADACL4	ENSG00000204518	CCDS30590	uc001auf.3
AADAT	ENSG00000109576	CCDS75209, CCDS3814	uc032udw.1
AAGAB	ENSG00000103591	CCDS42050, CCDS61679	uc002aqk.6
AAK1	ENSG00000115977	CCDS1893	uc002sfp.3
AAMDC	ENSG00000087884	CCDS86232, CCDS81604, CCDS81605, CCDS8254	uc058fuq.1
AAMP	ENSG00000127837	CCDS77530, CCDS33378	uc002vhk.4
AANAT	ENSG00000129673	CCDS11745, CCDS54169	uc002jro.4
AAR2	ENSG00000131043	CCDS13273	uc002xfc.4
AARD	ENSG00000205002	CCDS34935	uc003yof.4
AARS1	ENSG00000090861	CCDS32474	uc002eyn.2
AARS2	ENSG00000124608	CCDS34464	uc010jza.2
AARSD1	ENSG00000266967	CCDS58552	uc031raq.2
AASDH	ENSG00000157426	CCDS75126, CCDS68705, CCDS75127, CCDS68706, CCDS3504	uc003hbn.5
AASDHPPT	ENSG00000149313	CCDS31664	uc001pjc.2
AASS	ENSG00000008311	CCDS5783	uc003vkb.4
AATF	ENSG00000275700	CCDS32632	uc002hni.3
AATK	ENSG00000181409	CCDS58607, CCDS45807	uc010dia.4
ABAT	ENSG00000183044	CCDS10534	uc002czc.5
ABCA1	ENSG00000165029	CCDS6762	uc004bcl.4
ABCA2	ENSG00000107331	CCDS43909	uc064xhf.1
ABCA3	ENSG00000167972	CCDS10466	uc002cpy.2
ABCA4	ENSG00000198691	CCDS747	uc001dqh.4
ABCA5	ENSG00000154265	CCDS11685	uc002jig.3
ABCA6	ENSG00000154262	CCDS11683	uc002jhw.2
ABCA7	ENSG00000064687	CCDS12055	uc002lqw.5
ABCA8	ENSG00000141338	CCDS74139, CCDS74138, CCDS11680	uc002jhq.5
ABCA9	ENSG00000154258	CCDS11681	uc002jhu.4
ABCA10	ENSG00000154263	CCDS11684	uc010dfa.2
ABCA12	ENSG00000144452	CCDS33372, CCDS33373	uc002vew.3
ABCA13	ENSG00000179869	CCDS47584	uc003toq.2
ABCB1	ENSG00000085563	CCDS5608	uc003uiz.3
ABCB4	ENSG00000005471	CCDS5607, CCDS5605, CCDS5606	uc003uix.1
ABCB5	ENSG00000004846	CCDS5371, CCDS55090, CCDS55091, CCDS55092	uc010kuh.4
ABCB6	ENSG00000115657	CCDS86920, CCDS2436	uc002vkc.3
ABCB7	ENSG00000131269	CCDS75994, CCDS65290, CCDS14428, CCDS65291	uc004ebz.5
ABCB8	ENSG00000197150	CCDS5913, CCDS64799, CCDS64798, CCDS64800	uc003wik.6
ABCB9	ENSG00000150967	CCDS58288, CCDS58286, CCDS58287, CCDS9241	uc058upb.1
ABCB10	ENSG00000135776	CCDS1580	uc001htp.4
ABCB11	ENSG00000073734	CCDS46444	uc002ueo.2
ABCC1	ENSG00000103222	CCDS42122	uc010bvi.4
ABCC2	ENSG00000023839	CCDS7484	uc001kqf.3
ABCC3	ENSG00000108846	CCDS45739, CCDS32681	uc002isl.4
ABCC4	ENSG00000125257	CCDS86356, CCDS9474, CCDS45061, CCDS76643	uc001vmd.5
ABCC5	ENSG00000114770	CCDS33898, CCDS43176	uc003fmg.4
ABCC6	ENSG00000091262	CCDS10568, CCDS58430	uc002den.5
ABCC8	ENSG00000006071	CCDS31437, CCDS86184, CCDS86183, CCDS73264, CCDS86185	uc001mnc.4
ABCC9	ENSG00000069431	CCDS8694, CCDS8693	uc001rfi.2
ABCC10	ENSG00000124574	CCDS4896, CCDS56430	uc003ouz.1
ABCC11	ENSG00000121270	CCDS10733, CCDS10732	uc059txd.1
ABCC12	ENSG00000140798	CCDS10730	uc002efc.1
ABCD1	ENSG00000101986	CCDS14728	uc004fif.2
ABCD2	ENSG00000173208	CCDS8734	uc001rmb.3
ABCD3	ENSG00000117528	CCDS749, CCDS44175	uc001dqn.5
ABCD4	ENSG00000119688	CCDS9828	uc001xpr.3
ABCE1	ENSG00000164163	CCDS34071	uc003ijy.4
ABCF1	ENSG00000204574	CCDS34381, CCDS34380	uc003nql.4
ABCF2	ENSG00000033050	CCDS5923	uc003wjp.5
ABCF2-H2BE1	ENSG00000285292	CCDS5922	
ABCF3	ENSG00000161204	CCDS87173, CCDS3254	uc003fmz.3
ABCG1	ENSG00000160179	CCDS42938, CCDS13683, CCDS13682, CCDS13681, CCDS42937	uc002zaq.4
ABCG2	ENSG00000118777	CCDS3628, CCDS58910	uc003hrg.4
ABCG4	ENSG00000172350	CCDS8415	uc031yhk.2
ABCG5	ENSG00000138075	CCDS1814	uc002rtn.3
ABCG8	ENSG00000143921	CCDS1815	uc002rtq.3
ABHD1	ENSG00000143994	CCDS1736	uc002rit.4
ABHD2	ENSG00000140526	CCDS10348	uc002bnk.2
ABHD3	ENSG00000158201	CCDS77160, CCDS32802, CCDS77159	uc002ktl.2
ABHD4	ENSG00000100439	CCDS9572	uc001wgm.4
ABHD5	ENSG00000011198	CCDS2711	uc003cmx.4
ABHD6	ENSG00000163686	CCDS2887	uc003djt.5
ABHD8	ENSG00000127220	CCDS12355	uc002ngb.4
ABHD10	ENSG00000144827	CCDS63718, CCDS2963	uc003dyk.6
ABHD11	ENSG00000106077	CCDS5558, CCDS47607, CCDS47608, CCDS75615	uc003tzb.4
ABHD12	ENSG00000100997	CCDS42857, CCDS13172	uc002wus.3
ABHD12B	ENSG00000131969	CCDS9702, CCDS55916	uc001wyr.3
ABHD13	ENSG00000139826	CCDS32007	uc001vqq.4
ABHD14A	ENSG00000248487	CCDS2843	uc003dco.4
ABHD14B	ENSG00000114779	CCDS2842	uc003dcn.3
ABHD15	ENSG00000168792	CCDS32602	uc002hed.3
ABHD16A	ENSG00000204427	CCDS54988, CCDS4713	uc003nvy.3
ABHD16B	ENSG00000183260	CCDS13539	uc002ygx.3
ABHD17A	ENSG00000129968	CCDS32867, CCDS45902	uc002lug.4
ABHD17B	ENSG00000107362	CCDS35043, CCDS35042	uc004ail.4
ABHD17C	ENSG00000136379	CCDS45323	uc002bfu.4
ABHD18	ENSG00000164074	CCDS87261	
ABI1	ENSG00000136754	CCDS73078, CCDS73077, CCDS53497, CCDS31171, CCDS31169, CCDS53500, CCDS31170, CCDS53501, CCDS7150, CCDS53499, CCDS53498	uc001isx.4
ABI2	ENSG00000138443	CCDS63093, CCDS2358, CCDS63094	uc002uzz.5
ABI3	ENSG00000108798	CCDS45725, CCDS11546	uc002iop.1
ABI3BP	ENSG00000154175	CCDS46880	uc003dun.4
ABITRAM	ENSG00000119328	CCDS6774	uc004bdn.4
ABL1	ENSG00000097007	CCDS35166, CCDS35165	uc004bzv.4
ABL2	ENSG00000143322	CCDS53438, CCDS41441, CCDS53437, CCDS44283, CCDS30947, CCDS53435, CCDS44282, CCDS53436	uc001gmj.5
ABLIM1	ENSG00000099204	CCDS31288, CCDS31289, CCDS81508, CCDS81509, CCDS7590	uc057wcy.1
ABLIM2	ENSG00000163995	CCDS47016, CCDS68669, CCDS47012, CCDS47015, CCDS54719, CCDS47011, CCDS47013, CCDS47014	uc003gkj.5
ABLIM3	ENSG00000173210	CCDS87335, CCDS78069, CCDS4294, CCDS78071	uc003lpy.3
ABR	ENSG00000159842	CCDS73936, CCDS10999, CCDS54060, CCDS11000, CCDS58497	uc002fsd.6
ABRA	ENSG00000174429	CCDS6305	uc003ymm.5
ABRACL	ENSG00000146386	CCDS43509	uc003qil.2
ABRAXAS1	ENSG00000163322	CCDS3605	uc003hou.3
ABRAXAS2	ENSG00000165660	CCDS31308	uc001lib.4
ABT1	ENSG00000146109	CCDS4616	uc003nii.4
ABTB1	ENSG00000114626	CCDS3045, CCDS46901	uc003ejt.4
ABTB2	ENSG00000166016	CCDS7890	uc001mvl.3
ACAA1	ENSG00000060971	CCDS46794, CCDS2673	uc003cht.4
ACAA2	ENSG00000167315	CCDS11939	uc002ldw.5
ACACA	ENSG00000278540	CCDS11318, CCDS42302, CCDS11317, CCDS42303	uc284osy.1
ACACB	ENSG00000076555	CCDS31898	uc001tob.4
ACAD8	ENSG00000151498	CCDS8498	uc001qhk.4
ACAD9	ENSG00000177646	CCDS3053	uc003ela.5
ACAD10	ENSG00000111271	CCDS44973, CCDS31903	uc009zvx.4
ACAD11	ENSG00000240303	CCDS3074	uc003eov.5
ACADL	ENSG00000115361	CCDS2389	uc002vdz.5
ACADM	ENSG00000117054	CCDS44165, CCDS65562, CCDS72807, CCDS668	uc001dgw.6
ACADS	ENSG00000122971	CCDS76610, CCDS9207	uc001tza.5
ACADSB	ENSG00000196177	CCDS7634, CCDS81518	uc001lhb.4
ACADVL	ENSG00000072778	CCDS42249, CCDS11090, CCDS58509	uc002gev.5
ACAN	ENSG00000157766	CCDS53971, CCDS53970	uc010upo.1
ACAP1	ENSG00000072818	CCDS11101	uc002ggd.3
ACAP2	ENSG00000114331	CCDS33924	uc003fun.5
ACAP3	ENSG00000131584	CCDS19	uc001aeb.3
ACAT1	ENSG00000075239	CCDS8339	uc001pjy.4
ACAT2	ENSG00000120437	CCDS5268	uc010kjy.4
ACBD3	ENSG00000182827	CCDS1551	uc001hpy.4
ACBD4	ENSG00000181513	CCDS45710, CCDS42348, CCDS45711	uc002iic.4
ACBD5	ENSG00000107897	CCDS86078, CCDS44368, CCDS73079, CCDS76290, CCDS7154	uc001ito.4
ACBD6	ENSG00000230124	CCDS1339	uc001gog.4
ACBD7	ENSG00000176244	CCDS31153	uc001inv.4
ACCS	ENSG00000110455	CCDS7907	uc001mxx.3
ACCSL	ENSG00000205126	CCDS41636	uc001mxw.1
ACD	ENSG00000102977	CCDS10842, CCDS42181	uc002etp.5
ACE	ENSG00000159640	CCDS54155, CCDS11637, CCDS45755	uc002jau.4
ACE2	ENSG00000130234	CCDS14169	uc004cxb.2
ACER1	ENSG00000167769	CCDS12161	uc002mel.3
ACER2	ENSG00000177076	CCDS34992	uc003zny.2
ACER3	ENSG00000078124	CCDS73352, CCDS8247, CCDS76454	uc009yum.2
ACHE	ENSG00000087085	CCDS5709, CCDS64736, CCDS5710	uc003uxi.4
ACIN1	ENSG00000100813	CCDS53888, CCDS53889, CCDS55905, CCDS53887, CCDS9587	uc001wit.5
ACKR1	ENSG00000213088	CCDS44252, CCDS1183	
ACKR2	ENSG00000144648	CCDS2706	
ACKR3	ENSG00000144476	CCDS2516	
ACKR4	ENSG00000129048	CCDS3075	
ACLY	ENSG00000131473	CCDS11413, CCDS11412	uc002hyg.4
ACMSD	ENSG00000153086	CCDS77464, CCDS2173	uc002ttz.4
ACO1	ENSG00000122729	CCDS6525	uc003zqw.5
ACO2	ENSG00000100412	CCDS14017	uc003bac.3
ACOD1	ENSG00000102794	CCDS58299	uc031qmi.3
ACOT1	ENSG00000184227	CCDS32117	uc001xol.2
ACOT2	ENSG00000119673	CCDS9816	uc059ddl.1
ACOT4	ENSG00000177465	CCDS9817	uc001xoo.4
ACOT6	ENSG00000205669	CCDS32118	uc001xop.3
ACOT7	ENSG00000097021	CCDS66, CCDS65, CCDS67, CCDS30573	uc001ams.4
ACOT8	ENSG00000101473	CCDS13378	uc002xqa.3
ACOT9	ENSG00000123130	CCDS35216, CCDS43924, CCDS83460	uc004dap.4
ACOT11	ENSG00000162390	CCDS592, CCDS593	uc001cxm.3
ACOT12	ENSG00000172497	CCDS4055	uc003khl.5
ACOT13	ENSG00000112304	CCDS54972, CCDS4558	uc003nek.4
ACOX1	ENSG00000161533	CCDS11735, CCDS11734	uc002jqe.5
ACOX2	ENSG00000168306	CCDS33775	uc003dkl.4
ACOX3	ENSG00000087008	CCDS47017, CCDS3401	uc003glc.5
ACOXL	ENSG00000153093	CCDS46389	uc021vmm.2
ACP1	ENSG00000143727	CCDS1639, CCDS46217, CCDS1640	uc002qwg.4
ACP2	ENSG00000134575	CCDS76404, CCDS76402, CCDS7928, CCDS76403	uc001nei.3
ACP3	ENSG00000014257	CCDS3073, CCDS46916, CCDS77818	uc010htp.3
ACP4	ENSG00000142513	CCDS12802	uc002pta.1
ACP5	ENSG00000102575	CCDS12265	uc002msi.5
ACP6	ENSG00000162836	CCDS928	uc001epr.3
ACP7	ENSG00000183760	CCDS86764, CCDS33018	
ACR	ENSG00000100312	CCDS14101	uc003bnh.5
ACRBP	ENSG00000111644	CCDS8554	uc001qpu.2
ACRV1	ENSG00000134940	CCDS8461, CCDS44761, CCDS8460, CCDS44759	uc001qcs.4
