Metabolite,MetabClass
2-aminoadipate,other
3-phosphoglycerate,other
alpha-glycerophosphate,other
4-pyridoxate,other
aconitate,other
adenine,nucleotide
adipate,other
alpha-ketoglutarate,other
AMP,nucleotide
citrate,other
isocitrate,other
CMP,nucleotide
cystathionine,other
cytidine,other
dCMP,other
DHAP/glyceraldehyde-3P,other
erythrose-4-phosphate,other
F1P/F6P/G1P/G6P,sugar
hexoses-HILIC_neg,sugar
fumarate/maleate/alpha-ketoisovalerate,other
glucuronate,other
glutathione-oxidized,other
glutathione-reduced,other
GMP,nucleotide
guanosine,other
hippurate,other
hypoxanthine,other
inosine,other
kynurenine,other
lactate,other
lactose,sugar
malate,other
NAD,other
NADP,other
oxalate,other
pantothenate,other
PEP,other
ribose-5-P/ribulose5-P,other
sorbitol,other
succinate/methylmalonate,other
sucrose,sugar
thymine,nucleotide
UMP,other
UDP-galactose/UDP-glucose,sugar
uracil,nucleotide
urate,other
uridine,other
xanthine,other
taurocholate,other
glycodeoxycholate/glycochenodeoxycholate,other
taurodeoxycholate/taurochenodeoxycholate,other
phosphocreatine,other
3-methyladipate/pimelate,other
6-phosphogluconate,other
alpha-hydroxybutyrate,other
2-hydroxyglutarate,other
inositol,other
malondialdehyde,other
glycine,amino_acid
alanine,amino_acid
serine,amino_acid
threonine,amino_acid
methionine,amino_acid
aspartate,amino_acid
glutamate,amino_acid
asparagine,amino_acid
glutamine,amino_acid
histidine,amino_acid
arginine,amino_acid
lysine,amino_acid
valine,amino_acid
leucine,amino_acid
isoleucine,amino_acid
phenylalanine,amino_acid
tyrosine,amino_acid
tryptophan,amino_acid
proline,amino_acid
cis/trans-hydroxyproline,amino_acid
ornithine,amino_acid
citrulline,amino_acid
taurine,other
5-HIAA,other
serotonin,other
GABA,other
acetylglycine,other
dimethylglycine,other
homocysteine,amino_acid
SDMA/ADMA,other
NMMA,other
allantoin,other
anthranilic-acid,other
kynurenic-acid,other
5-adenosylhomocysteine,other
carnosine,other
N-carbamoyl-beta-alanine,other
thiamine,other
niacinamide,other
betaine,other
choline,other
alpha-glycerophosphocholine,other
acetylcholine,other
creatine,other
creatinine,other
thyroxine,other
trimethylamine-N-oxide,other
hexoses-HILIC_pos,sugar
adenosine,other
thymidine,other
xanthosine,other
2-deoxyadenosine,other
2-deoxycytidine,other
cAMP,other
cotinine,other
pipecolic-acid,other
pyroglutamic-acid,amino_acid
1-methylnicotinamide,other
butyrobetaine,other
putrescine,other
methionine-sulfoxide,other
carnitine,other
acetylcarnitine,other
propionylcarnitine,other
malonylcarnitine,other
butyrylcarnitine/isobutyrylcarnitine,other
valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,other
hexanoylcarnitine,other
heptanoylcarnitine,other
lauroylcarnitine,other
myristoylcarnitine,other
palmitoylcarnitine,other
stearoylcarnitine,other
oleylcarnitine,other
arachidonyl_carnitine,other
sarcosine,amino_acid
beta-alanine,amino_acid
anserine,other
C14:0-LPC,lipid
C16:1-LPC,lipid
C16:0-LPC,lipid
C18:2-LPC,lipid
C18:1-LPC,lipid
C18:0-LPC,lipid
C20:4-LPC,lipid
C20:3-LPC,lipid
C22:6-LPC,lipid
C16:0-LPE,lipid
C18:1-LPE,lipid
C18:0-LPE,lipid
C20:4-LPE,lipid
C22:6-LPE,lipid
C32:2-PC,lipid
C32:1-PC,lipid
C32:0-PC,lipid
C34:4-PC,lipid
C34:3-PC,lipid
C34:2-PC,lipid
C34:1-PC,lipid
C36:4-PC-A,lipid
C36:4-PC-B,lipid
C36:3-PC,lipid
C36:2-PC,lipid
C36:1-PC,lipid
C38:6-PC,lipid
C38:5-PC,lipid
C38:4-PC,lipid
C38:2-PC,lipid
C40:6-PC,lipid
C14:0-SM,lipid
C16:1-SM,lipid
C16:0-SM,lipid
C18:2-SM,lipid
C18:1-SM,lipid
C18:0-SM,lipid
C22:1-SM,lipid
C22:0-SM,lipid
C24:1-SM,lipid
C24:0-SM,lipid
C34:2-DAG,lipid
C34:1-DAG,lipid
C36:2-DAG,lipid
C36:1-DAG,lipid
C14:0-CE,lipid
C16:1-CE,lipid
C16:0-CE,lipid
C18:3-CE,lipid
C18:2-CE,lipid
C18:1-CE,lipid
C18:0-CE,lipid
C20:5-CE,lipid
C20:4-CE,lipid
C20:3-CE,lipid
C22:6-CE,lipid
C46:2-TAG,lipid
C46:1-TAG,lipid
C46:0-TAG,lipid
C48:3-TAG,lipid
C48:2-TAG,lipid
C48:1-TAG,lipid
C48:0-TAG,lipid
C50:3-TAG,lipid
C50:2-TAG,lipid
C50:1-TAG,lipid
C50:0-TAG,lipid
C52:5-TAG,lipid
C52:4-TAG,lipid
C52:3-TAG,lipid
C52:2-TAG,lipid
C52:1-TAG,lipid
C54:7-TAG,lipid
C54:6-TAG,lipid
C54:5-TAG,lipid
C54:4-TAG,lipid
C54:3-TAG,lipid
C54:2-TAG,lipid
C54:1-TAG,lipid
C56:8-TAG,lipid
C56:7-TAG,lipid
C56:6-TAG,lipid
C56:5-TAG,lipid
C56:4-TAG,lipid
C56:3-TAG,lipid
C56:2-TAG,lipid
C58:8-TAG,lipid
C58:7-TAG,lipid
C58:6-TAG,lipid
